,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
202,BAKEUSDT,ASTRUSDT,0.0,-4.94,-3.37,2.88,50
712,SXPUSDT,CTSIUSDT,0.0,-4.9,-3.37,1.96,45
826,ZILUSDT,BANDUSDT,0.01,-4.09,-3.37,0.02,44
644,RUNEUSDT,ARPAUSDT,0.01,-4.07,-3.37,39.36,43
793,XEMUSDT,PEOPLEUSDT,0.0,-5.28,-3.37,1.85,43
439,CTSIUSDT,ASTRUSDT,0.0,-5.15,-3.37,2.16,42
833,ZILUSDT,CTSIUSDT,0.01,-3.99,-3.37,0.19,40
700,SXPUSDT,ANTUSDT,0.01,-3.85,-3.37,0.12,40
825,ZILUSDT,AUDIOUSDT,0.0,-4.52,-3.37,0.1,39
234,BAKEUSDT,RSS3USDT,0.0,-4.17,-3.37,1.31,39
237,BAKEUSDT,SANDUSDT,0.0,-5.25,-3.37,0.31,39
440,CTSIUSDT,AUDIOUSDT,0.0,-5.33,-3.37,0.54,39
222,BAKEUSDT,ICXUSDT,0.0,-5.51,-3.37,0.87,38
201,BAKEUSDT,API3USDT,0.02,-3.77,-3.37,0.13,37
734,VETUSDT,ARUSDT,0.01,-3.89,-3.37,0.0,37
749,VETUSDT,HNTUSDT,0.01,-4.07,-3.37,0.01,37
702,SXPUSDT,ASTRUSDT,0.0,-4.94,-3.37,4.23,36
224,BAKEUSDT,KNCUSDT,0.0,-4.14,-3.37,0.26,36
102,1000LUNCUSDT,DARUSDT,0.04,-3.42,-3.37,0.83,36
247,BATUSDT,ASTRUSDT,0.0,-5.27,-3.37,3.85,36
435,CTSIUSDT,ALGOUSDT,0.04,-3.41,-3.37,0.65,35
677,SOLUSDT,LITUSDT,0.01,-3.87,-3.37,19.07,35
736,VETUSDT,AUDIOUSDT,0.0,-4.31,-3.37,0.09,35
576,ONTUSDT,CTCUSDT,0.01,-3.78,-3.37,0.5,35
485,GLMRUSDT,BSVUSDT,0.0,-4.11,-3.37,0.01,35
648,SANDUSDT,API3USDT,0.0,-4.39,-3.37,0.43,35
805,XTZUSDT,APEUSDT,0.01,-3.8,-3.37,0.24,35
480,GLMRUSDT,API3USDT,0.01,-3.93,-3.37,0.28,35
718,SXPUSDT,FLOWUSDT,0.01,-3.95,-3.37,0.27,34
110,1000LUNCUSDT,FXSUSDT,0.01,-3.83,-3.37,0.02,34
659,SOLUSDT,ALGOUSDT,0.01,-4.01,-3.37,91.9,34
615,REQUSDT,API3USDT,0.0,-4.25,-3.37,0.07,34
90,1000LUNCUSDT,BANDUSDT,0.0,-4.23,-3.37,0.08,33
146,1000LUNCUSDT,ZRXUSDT,0.0,-4.87,-3.37,0.61,33
236,BAKEUSDT,RVNUSDT,0.01,-3.78,-3.37,7.35,33
70,1000FLOKIUSDT,APEUSDT,0.04,-3.42,-3.37,0.01,33
91,1000LUNCUSDT,BELUSDT,0.01,-3.79,-3.37,0.22,33
489,GTCUSDT,1000BTTUSDT,0.01,-3.96,-3.37,2621.69,33
58,1000BTTUSDT,SHIB1000USDT,0.02,-3.65,-3.37,0.06,32
81,1000FLOKIUSDT,ZENUSDT,0.02,-3.62,-3.37,0.0,32
205,BAKEUSDT,BATUSDT,0.01,-4.11,-3.37,0.75,32
127,1000LUNCUSDT,OMGUSDT,0.02,-3.7,-3.37,0.1,32
511,JSTUSDT,BSWUSDT,0.02,-3.63,-3.37,0.13,32
777,XEMUSDT,GMTUSDT,0.01,-3.87,-3.37,0.11,32
211,BAKEUSDT,CTCUSDT,0.0,-4.43,-3.37,0.44,32
441,CTSIUSDT,BANDUSDT,0.0,-4.66,-3.37,0.08,32
120,1000LUNCUSDT,IOSTUSDT,0.01,-3.95,-3.37,13.99,31
220,BAKEUSDT,HNTUSDT,0.04,-3.43,-3.37,0.08,31
200,BAKEUSDT,ANTUSDT,0.0,-4.72,-3.37,0.08,31
794,XEMUSDT,RNDRUSDT,0.04,-3.4,-3.37,0.03,31
817,YGGUSDT,RSS3USDT,0.01,-3.83,-3.37,1.84,31
452,ETHWUSDT,BITUSDT,0.02,-3.6,-3.37,6.45,31
74,1000FLOKIUSDT,CVXUSDT,0.0,-4.67,-3.37,0.01,31
245,BATUSDT,ANTUSDT,0.01,-4.07,-3.37,0.11,31
784,XEMUSDT,IOSTUSDT,0.02,-3.73,-3.37,3.93,31
780,XEMUSDT,HOTUSDT,0.04,-3.41,-3.37,22.58,31
233,BAKEUSDT,ROSEUSDT,0.0,-4.22,-3.37,3.35,31
65,1000BTTUSDT,XLMUSDT,0.01,-3.77,-3.37,0.01,31
227,BAKEUSDT,LUNA2USDT,0.01,-3.83,-3.37,0.13,31
239,BAKEUSDT,SKLUSDT,0.02,-3.73,-3.37,4.61,31
765,XEMUSDT,ASTRUSDT,0.0,-4.2,-3.37,0.61,31
283,BTCUSDT,TRXUSDT,0.0,-4.62,-3.37,334201.79,30
226,BAKEUSDT,LPTUSDT,0.04,-3.42,-3.37,0.03,30
118,1000LUNCUSDT,ICXUSDT,0.01,-3.78,-3.37,0.66,30
